,movieCd,movieNm,director,openDt,prdtYear,repNationNm,repGenreNm,showTm,watchGradeNm,actor_1,actor_2,actor_3,companyNm
98,20040696,레지던트 이블 2-아포칼립스,알렉산더 윗,20041105,2004,미국,액션,95,18세관람가,오데드 페르,시에나 길로리,,(주)태원엔터테인먼트
99,20040625,얼굴 없는 미녀,김인식,20040806,2004,한국,스릴러,104,18세관람가,김혜수,김태우,한정수,(주)아이필름홀딩스
100,20040656,세상의 중심에서 사랑을 외치다,유키사다 이사오,20041008,2004,일본,멜로/로맨스,138,12세관람가,나가사와 마사미,오사와 타카오,시바사키 코우,도호쿠신샤
101,20040670,맨 온 파이어,토니 스콧,20040924,2004,미국,액션,147,15세관람가,덴젤 워싱턴,다코타 패닝,,폭스2000픽처스
102,20030430,라스트 사무라이,에드워드 즈윅,20040109,2003,미국,액션,144,15세관람가,톰 크루즈,와타나베 켄,,워너브러더스 코리아(주)
103,20040446,그녀를 믿지 마세요,배형준,20040220,2004,한국,코미디,112,12세관람가,강동원,김용선,진경,㈜영화사시선
104,20030435,내사랑 싸가지,신동엽,20040116,2004,한국,코미디,95,12세관람가,김재원,진태현,하지원,제이웰엔터테인먼트(주)
105,20040618,리딕 - 헬리온 최후의 빛,데이빗 토히,20040813,2004,미국,SF,115,12세관람가,빈 디젤,칼 어번,탠디 뉴튼,라다 픽쳐스
106,20119137,가필드 펫 포스 3D,마크 A.Z. 디페,20110127,2009,미국,애니메이션,73,전체관람가,엄상현,김영선,,(주)화앤담이엔티
107,20090062,가필드-마법의 샘물,마크 A.Z. 디페,20090219,2008,미국,애니메이션,80,전체관람가,그렉 버거,프랭크 웰커,그렉 이글스,㈜케이디미디어
108,20060194,가필드 2,팀 힐,20060727,2006,미국,애니메이션,77,전체관람가,빌 머레이,브레킨 메이어,,이십세기폭스필름코퍼레이션
109,20040616,가필드,피터 휴잇,20040819,2004,미국,코미디,87,전체관람가,빌 머레이,제니퍼 러브 휴잇,브레킨 메이어,이십세기폭스필름코퍼레이션
110,20040706,알렉산더,올리버 스톤,20041231,2004,미국,전쟁,175,15세관람가,콜린 파렐,안젤리나 졸리,발 킬머,워너브러더스사㈜
111,19960326,화니와 알렉산더 ,잉마르 베리만,19961116,1982,스웨덴,드라마,185,고등학생이상관람가,보르즈 알스테츠,해리엇 안데르손,,고몽
112,20132963,알렉산더 : 절대 영웅의 탄생,이고르 카리오노프,20130917,2008,러시아,액션,111,15세이상관람가,스베트라나 바쿠리나,이고르 보트빈,,(주)소나무픽쳐스
113,20080585,알렉산더 클루게 특별전-서펀틴 갤러리 프로그램,세르게이 M. 에이젠슈테인,20080513,,독일,드라마,100,15세이상관람가,,,,(주)소나무픽쳐스
114,20080584,알렉산더 클루게 특별전-단편모음,세르게이 M. 에이젠슈테인,20080513,,독일,드라마,,15세이상관람가,,,,(주)소나무픽쳐스
115,20176326,텐프로 : 뉴페이스,야마우치 다이스케,20170515,2016,일본,기타,74,청소년관람불가,코가와 이오리,,,(주)에스와이미디어
