,movieCd,movieNm,director,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyNm
3281,20153039,러브 라이브! 더 스쿨 아이돌 무비,쿄고쿠 타카히코,2015,20150903,장편,일본,애니메이션,휠므빠말주식회사
3282,20155874,미라클 벨리에,에릭 라티고,2014,20150827,장편,프랑스,드라마,휠므빠말주식회사
3283,20158481,퇴마: 무녀굴,김휘,2015,20150820,장편,한국,공포(호러),(주)케이프로덕션
3284,20143253,존 윅,데이빗 레이치,2014,20150121,장편,미국,액션,(주)케이프로덕션
3285,20153470,극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,오오스기 요시히로,2015,20150917,장편,일본,애니메이션,(주)케이프로덕션
3286,20145042,스틸 앨리스,리처드 글랫저,2014,20150429,장편,미국,드라마,(주)케이프로덕션
3287,20151521,셀프/리스,타셈 싱,2015,20150910,장편,미국,SF,(주)케이프로덕션
3288,20152745,맨 프롬 UNCLE,가이 리치,2015,20151028,장편,미국,액션,(주)케이프로덕션
3289,20157904,더 건맨,피에르 모렐,2015,20150416,장편,프랑스,액션,(주)케이프로덕션
3290,20155690,프리덤,피터 쿠센스,2014,20151119,장편,미국,드라마,(주)케이프로덕션
3291,19960177,랜드 앤 프리덤 ,켄 로치,1995,19960524,장편,영국,전쟁,브리티쉬브로드캐스팅코퍼레이션
3292,19980209,프리덤 스트라이크,제리 P. 제이콥스,1998,19980926,장편,미국,드라마,브리티쉬브로드캐스팅코퍼레이션
3293,20060163,프리덤랜드,조 로스,2006,20060616,장편,미국,스릴러,레볼루션 스튜디오
3294,20153083,사우스포,안톤 후쿠아,2015,20151203,장편,미국,드라마,레볼루션 스튜디오
3295,20145501,돌연변이,권오광,2015,20151022,장편,한국,드라마,영화사 우상
3296,19930275,프로투 타입,필립 로스,1993,19930213,장편,미국,SF,로스 필름
3297,20157883,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,와타나베 카츠야,2014,20151126,장편,일본,액션,로스 필름
3298,20158428,빌리와 용감한 녀석들 3,척 파워스,2014,20150430,장편,미국,애니메이션,로스 필름
3299,20144021,맥베스,에이드리언 노블,2014,20150124,장편,미국,공연,로스 필름
